source_global_identifier,destination_global_identifier,rel_type,rel_properties $
mapping__Chan Wai Kin,mapping__395f3756ab18044bcbc471b7316d481e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chandan Kumar Mondol,KP__d3b6bd66c1cfa6a47a6bfaf49118f5c5,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chandan Kumar Mondol,mapping__6aa0800bec49ad4295ac85548da506da,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chandan Kumar Mondol,mapping__3fb3df840ac28134b0db9231ef63250c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chandan Sinha,mapping__https://en.wikipedia.org/wiki/State_Bank_of_India,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chandan Sinha,mapping__d526e5b9ef6b90e8468aef943dfde4a4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chandan Sinha,mapping__3427c3e1afacb645b56f5874ce13cb69,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Cheng,mapping__https://en.wikipedia.org/wiki/Xiaomi,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Cheng,mapping__ea5ef4033fcd6034cd34eac6685d9ad4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Cheng,mapping__7f829c92cca2eac8371674bf968e0c81,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Cheng,mapping__eb531faefbe72bab4a32eda49f30ba64,NAMEVARIANT,"{""from"":""external""}"
mapping__UNKNOWN,KP__ff8de13dc2e691f96266100e01dce821,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Hong Jiang,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Chang Hong Jiang,mapping__5a610ceffe6a3e75846872dfe4cb7c88,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Hong Jiang,mapping__1b9dc3103fb8c31d79502dd9616dcc58,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Jung Shao,KP__57334e9a770daf34434042496379d713,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Jung Shao,mapping__2d0e34185fa5b42e4c3898f4615ce88a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Jung Shao,mapping__90adf75acc44fcb895903897914eb291,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Lin Song,mapping__https://en.wikipedia.org/wiki/Postal_Savings_Bank_of_China,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Lin Song,mapping__e5fa699b1ffb71b4a74c7951af6cbc40,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Lin Song,mapping__96c430d91a1a1afcfc8acac6817f7ba1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Liu,KP__8da836e7727c617d3fbc26cf0970fb72,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Liu,mapping__0e4da4f102669bd3ca19cb26c81196aa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Liu,mapping__935025d19d7c59b22ecc2e971b307608,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Yun Liu,mapping__Jointown Pharmaceutical Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Yun Liu,mapping__86c03ad4c8374b18f8179979f16a51ca,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Yun Liu,mapping__20732bda2b5d54d412f472e14ab2ca8d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Zhangli,mapping__https://en.wikipedia.org/wiki/China_National_Building_Material,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang Zhangli,mapping__83c922fc4f8a212761d3a6c7d6e689ba,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang Zhangli,mapping__8bc62e8a0803e81c8b8d3945cfaf781d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Geun Choi,KP__AgZdKA0dotQfePxTBR8bA3,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Geun Choi,mapping__7b0fd011603a94df21f86216b507cccf,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Geun Choi,mapping__cfca307d4f47b35386d21b23b00b75a0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Il Kim,mapping__https://en.wikipedia.org/wiki/Korea_Gas_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang-Il Kim,mapping__cd59f7e91e8bc0b2d73b5b802ff9646b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Il Kim,mapping__60bf5d753199156c4640da1557d15204,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Ken Lee,KP__005a85de2c65f022586304a9f3768b90,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang-Ken Lee,mapping__d990e73fa805458df0cf48c139ddffaf,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Ken Lee,mapping__d1039816e2b2512be91e7bd4184fb639,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Tae Kim,KP__63e3d9b6d96e1ce2c8a33de0d698d78f,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang-Tae Kim,mapping__f2a637460e6647d3686cfc83c4d7a921,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Tae Kim,mapping__4db00d1927869c39dcd8a9a58b1d6fdb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__UNKNOWN,KP__7d0549c69bfb56a9429185ef69528a65,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Wan Kang,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang-Wan Kang,mapping__64cf6dd2ce56fef273388715bbbdb909,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Wan Kang,mapping__8859f57d82a519ea1ea2e872be6a2fdc,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Woo Lee,mapping__https://en.wikipedia.org/wiki/LG_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chang-Woo Lee,mapping__0fe4f697c2e85395a8a693f887a1cf9d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chang-Woo Lee,mapping__4abc953f4007c06b62676cb75cfcf4a6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changcheng Ouyang,mapping__https://en.wikipedia.org/wiki/Yuexiu_Property,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Changcheng Ouyang,mapping__602f2b024f4d2773e4970c7122f974d1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changcheng Ouyang,mapping__62d002b07481258e2771998c084be6f8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changhsing Cho,mapping__https://en.wikipedia.org/wiki/CTBC_Financial_Holding,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Changhsing Cho,mapping__8b4a420635cd1b5c1f93fc49f9b39574,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changhsing Cho,mapping__92a324d49c80b60ff25c74a1abc4de87,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changshun Liu,mapping__https://en.wikipedia.org/wiki/Bank_of_Communications,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Changshun Liu,mapping__a190a7a076ace5aa6de94f760d95ba09,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Changshun Liu,mapping__171883c825ff54039cd0d69f696da13d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chantal de Vrieze,KP__5059441648ef2c60e1028514ba412d9a,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chantal de Vrieze,mapping__b3d698c8241934807c71b3a5a5618a97,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chantal de Vrieze,mapping__142a70f78c82013f090b383cef512b3a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zheng,mapping__https://en.wikipedia.org/wiki/GAC_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chao Zheng,mapping__a9d6f63bec84b5fa90bab7c42bd9f039,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zheng,mapping__d3e2e927445ee1201572e924b9086f12,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zhou,KP__8aad8e3b68beb281f129f71887433656,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Chao Zhou,mapping__84a9d38206ee530ceed5d5a0fcfada68,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zhou,mapping__05d4fb7fd87cda0980cb7dabfc03a577,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zhou,mapping__441589d78d1ec8b50ace072b395fb081,NAMEVARIANT,"{""from"":""external""}"
mapping__Chao Zhou,mapping__50f00c15d1405582e56feca876d0d0e1,NAMEVARIANT,"{""from"":""external""}"
mapping__Chao Zou,KP__2342fe6baf083d54baa28907956366ff,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chao Zou,mapping__c02e0b658edbac0a7a71619990ef1507,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chao Zou,mapping__52ba79428ab46dcc87ecd343a13ee36d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__UNKNOWN,KP__17c181df6051840b41d67e1c1840b0f7,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chaobo Wen,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chaobo Wen,mapping__6614d27e322a8a69265613dfc0226e3b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chaobo Wen,mapping__60517aab1d20e64c097cbf926638c7dc,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
